證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2462,良得電,843218.0,26249031.0,31.95,31.95,30.45,30.75,-1.2,519.0
2464,盟立,157383.0,5870576.0,37.35,37.45,37.2,37.2,-0.15,148.0
2465,麗臺,1566038.0,60983727.0,38.55,39.8,38.0,38.3,0.45,1348.0
2466,冠西電,8040.0,288834.0,36.05,36.05,35.85,35.85,-0.1,14.0
2467,志聖,472483.0,23942386.0,50.8,50.9,50.3,50.3,-0.3,346.0
2468,華經,1716494.0,46140774.0,27.15,27.7,26.25,26.3,-0.75,985.0
2471,資通,13308486.0,867669970.0,64.2,67.8,63.5,64.6,2.0,9415.0
2472,立隆電,395845.0,24624201.0,62.6,62.8,61.8,61.9,-0.4,336.0
2474,可成,1351811.0,251109818.0,185.0,187.0,184.5,185.0,-0.5,1699.0
2476,鉅祥,735080.0,36744023.0,51.1,51.1,49.55,49.75,-0.95,556.0
2477,美隆電,30547.0,626401.0,20.55,20.6,20.45,20.45,-0.1,28.0
2478,大毅,126612.0,6030109.0,48.2,48.2,47.5,47.5,-0.2,115.0
2480,敦陽科,1544098.0,180440079.0,118.0,120.0,115.5,115.5,-2.5,1535.0
2481,強茂,2199324.0,150375586.0,68.6,68.8,67.8,68.5,0.2,1608.0
2482,連宇,3331201.0,211361723.0,64.8,65.0,62.5,62.6,-1.6,2631.0
2483,百容,279797.0,7741656.0,27.7,28.0,27.45,27.85,0.15,229.0
2484,希華,1048362.0,36171708.0,35.05,35.05,34.25,34.3,-0.5,837.0
2485,兆赫,1132275.0,21157697.0,19.0,19.0,18.5,18.5,-0.45,877.0
2486,一詮,3115429.0,92042274.0,29.95,30.1,28.9,29.75,0.1,1648.0
2488,漢平,101728.0,3175851.0,31.25,31.3,31.1,31.15,-0.1,74.0
2489,瑞軒,2871002.0,35639165.0,12.55,12.6,12.3,12.35,-0.15,1128.0
2491,吉祥全,1780154.0,31157547.0,16.45,17.85,16.45,17.85,1.6,781.0
2492,華新科,2519678.0,251644439.0,100.0,100.5,99.1,100.5,1.0,2126.0
2493,揚博,357613.0,22521602.0,63.0,63.3,62.7,63.0,0.5,467.0
2495,普安,4939202.0,121547207.0,24.55,25.0,24.0,24.05,-0.4,1982.0
2496,卓越,19042.0,1010123.0,52.7,53.5,52.6,53.3,0.5,24.0
2497,怡利電,622259.0,43650001.0,71.5,71.5,69.6,69.6,-0.8,531.0
2498,宏達電,7545718.0,444417785.0,60.0,60.0,58.2,58.4,-1.0,4387.0
2501,國建,378349.0,6170907.0,16.4,16.4,16.25,16.3,-0.1,247.0
2504,國產,2848307.0,81769308.0,28.75,28.85,28.65,28.7,-0.05,1323.0
2505,國揚,428120.0,8011829.0,18.75,18.9,18.55,18.65,-0.2,205.0
2506,太設,250990.0,2342164.0,9.41,9.41,9.29,9.33,-0.06,108.0
